CASNumber	CASStandard	ChemicalNumber	Category	SortCAS	SortName	FullChemicalName	Chemical	Added	ToxicitySource	RfCInhale	RfCUF	RfCMF	RfCConf	RfCSource	RfCListingDate	RFDOral	RfDUF	RfDMF	RfDConf	RfDListingDate	RfDSource	UnitRiskInhale	QSTAROral	WOE	UnitRiskListingDate	UnitRiskSource	QStarListingDate	QStarSource	WOEListingDate	WOESource	ITW	OTW	ToxicityClassOral	ToxicityClassInhale	ToxicityCategory	AirDecay	Koc	H2ODecay	LOGKow	Kd	WaterSolubility	POTWPartitionRemoval	POTWPartitionSludge	POTWPartitionVolat	POTWPartitionBiod	IncineratorDRE	BCF	Henrys	MCL	MolecularWeight	T33_50Flag	HAPFlag	CAAFlag	PriorityPollutantFlag	SDWAFlag	CERCLAFlag	OSHACarcinogens	ExpansionFlag	CoreChemicalFlag	MiniCoreChemicalFlag	Core98ChemicalFlag	HPVFlag	HPVChallenge	PBTFlag	Metal	UserTag1	UserTag2	UserTag3	UserTag4	UserTag5	HasTox	MaxTW
"N230"	"N230"	318	"<Not Assigned>"	230	"Glycol Ethers"	"Glycol Ethers"	"Glycol ethers"	1987	"IRIS 7/2000"	0.02	1000	1		"IRIS"	"5/1/1991"																90	90	"Non-carcinogen*"	"Non-carcinogen"	"Non-carcinogen"	0.034	2		-0.77		1000000	92.06	0.36	0.01	99.63	99.0		0.00000033		76.1	0	1	0	0	0	1	0	0	1	1	1	0		0	"CNM"						1	90
"76448"	"76-44-8"	319	"<Not Assigned>"	76448	"Heptachlor"	"Heptachlor"	"Heptachlor"	1987	"IRIS 4/1997"							5.0E-4	300	1	"L"	"3/1/1991"	"IRIS"	1.3	4.5	"B2"	"7/1/1993"	"IRIS"	"7/1/1993"	"IRIS"	"7/1/1993"	"IRIS"	9300	9000	"Carcinogen"	"Carcinogen"	"Carcinogen"	0.166	11000	0.00536	6.1		0.18	99.3	50.0	0.28	49.72	99.0	19953	0.000294	4.0E-4	373.32	0	1	0	1	1	1	1	0	0	0	0	0		1	"NM"						1	9300
"87683"	"87-68-3"	320	"<Not Assigned>"	87683	"Hexachloro-1,3-butadiene"	"Hexachloro-1,3-butadiene"	"Hexachloro-1,3-butadiene"	1987	"IRIS 4/1997, HEAST 7/1997"							2.0E-4	1000			"7/1997"	"HEAST"	0.022	0.078	"C"	"4/1/1991"	"IRIS"	"4/1/1991"	"IRIS"	"4/1/1991"	"IRIS"	16	2500	"Non-carcinogen"	"Carcinogen"	"Mixed"	8.1E-5	2300		4.78		3.2	94.82	47.54	18.49	33.97	99.0	11400	0.0103		260.76	0	1	0	1	0	1	0	0	1	1	1	0		0	"CNM"						1	2500
"118741"	"118-74-1"	321	"<Not Assigned>"	118741	"Hexachlorobenzene"	"Hexachlorobenzene"	"Hexachlorobenzene"	1987	"IRIS 4/1997, CalEPA 5/2001"	0.0028				"CalEPA"	"7/1990"	8.0E-4	100	1	"M"	"4/1/1991"	"IRIS"	0.46	1.6	"B2"	"11/1/1996"	"IRIS"	"11/1/1996"	"IRIS"	"11/1/1996"	"IRIS"	3300	3200	"Carcinogen"	"Carcinogen"	"Carcinogen"	4.56E-5	16300	0.0	5.73		0.0062	98.43	60.63	0.46	38.91	99.0	66000	0.0017	0.0010	284.78	0	1	0	1	1	1	1	0	0	0	0	0		1	"NM"						1	3300
"77474"	"77-47-4"	322	"<Not Assigned>"	77474	"Hexachlorocyclopentadiene"	"Hexachlorocyclopentadiene"	"Hexachlorocyclopentadiene"	1987	"IRIS 11/2003"	2.0E-4	100	1	"M"	"IRIS"	"7/5/2001"	0.0060	1000	1	"L"	"7/5/2001"	"IRIS"			"E"					"7/5/2001"	"IRIS"	9000	83	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"	0.00106	2000	0.0020	5.04		1.8	98.78	44.83	9.86	45.31	99.0	120	0.027	0.05	272.77	0	1	0	1	1	1	0	0	1	1	1	1	"2"	0	"CNM"						1	9000
"67721"	"67-72-1"	323	"<Not Assigned>"	67721	"Hexachloroethane"	"Hexachloroethane"	"Hexachloroethane"	1987	"IRIS 4/1997"							0.0010	1000	1	"M"	"4/1/1991"	"IRIS"	0.0040	0.014	"C"	"2/1/1994"	"IRIS"	"2/1/1994"	"IRIS"	"2/1/1994"	"IRIS"	2.9	500	"Non-carcinogen"	"Carcinogen"	"Mixed"		2188	0.0	4.14		50	77.49	23.01	43.8	33.19	99.0	440	0.00389		236.74	0	1	0	1	0	1	1	0	1	1	1	1	"0"	0	"CNM"						1	500
"1335871"	"1335-87-1"	324	"<Not Assigned>"	1335871	"Hexachloronaphthalene"	"Hexachloronaphthalene"	"Hexachloronaphthalene"	1987																												5.05E-4	160000		7.04		0.0015	99.04	62.38	0.0	37.61	99.0	24000	0.000087		334.85	0	0	0	0	0	0	0	0	1	1	1	0		0	"CNM"						0	
"70304"	"70-30-4"	325	"<Not Assigned>"	70304	"Hexachlorophene"	"Hexachlorophene"	"Hexachlorophene"	1994	"IRIS 4/1997"							3.0E-4	3000	1	"M"	"4/1/1991"	"IRIS"										1700	1700	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.00588	5000		7.54		140	99.06	62.45	0.0	37.55	99.0	320000	0.000000000000548		406.91	0	0	0	0	0	1	0	0	0	1	1	0		0	"NM"						1	1700
"680319"	"680-31-9"	326	"<Not Assigned>"	680319	"Hexamethylphosphoramide"	"Hexamethylphosphoramide"	"Hexamethylphosphoramide"	1987																												0.243	2		0.28		1000000	45.44	2.4	0.0	97.6	99.0	3.2	0.00000002		179.2	0	1	0	0	0	1	1	0	1	1	1	0		0	"CNM"						0	
"51235042"	"51235-04-2"	327	"<Not Assigned>"	51235042	"Hexazinone"	"Hexazinone"	"Hexazinone"	1995	"OPP 11/2003"							0.05	100			"8/2002"	"OPP"			"D"					"7/27/1994"	"OPP"	10	10	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.244	14		1.85		33000	84.56	22.88	0.0	77.11	99.0	15	0.00000000000226		252.32	0	0	0	0	0	0	0	1	0	1	1	1	"0"	0	"NM"						1	10
"67485294"	"67485-29-4"	328	"<Not Assigned>"	67485294	"Hydramethylnon"	"Hydramethylnon"	"Hydramethylnon"	1995	"IRIS 4/1997, OPP 11/2003"							3.0E-4	1000	1	"H"	"9/30/1987"	"IRIS"			"C"					"3/28/1991"	"OPP"	1700	1700	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.386	73000		2.31		0.006	99.69	52.93	0.0	47.07	99.0	34	0.0000022		494.49	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	1700
"302012"	"302-01-2"	329	"<Not Assigned>"	302012	"Hydrazine"	"Hydrazine"	"Hydrazine"	1987	"IRIS 4/1997, CalEPA 5/2001"	2.0E-4				"CalEPA"	"1/2001"							4.9	3.0	"B2"	"4/1/1991"	"IRIS"	"4/1/1991"	"IRIS"	"4/1/1991"	"IRIS"	35000	6000	"Carcinogen"	"Carcinogen"	"Carcinogen"	0.18			-2.07		1000000	85.0	0.0	0.0	100.0	99.0		0.000000607		32.05	0	1	1	0	0	1	1	0	1	1	1	0		0	"CNM"						1	35000
"10034932"	"10034-93-2"	330	"<Not Assigned>"	10034932	"Hydrazine sulfate"	"Hydrazine sulfate"	"Hydrazine sulfate"	1987	"IRIS 4/1997, CalEPA 5/2001"	2.0E-4				"CalEPA"	"1/2001"							4.9	3.0	"B2"	"4/1/1991"	"IRIS"	"4/1/1991"	"IRIS"	"4/1/1991"	"IRIS"	35000	6000	"Carcinogen"	"Carcinogen"	"Carcinogen"	0.171	15		-4.05		30303	1.85	94.59	0.0	4.86		1.8	0.0000000000000872		128.1	0	0	0	0	0	0	1	0	1	1	1	0		0	"CNM"						1	35000
"7647010"	"7647-01-0"	331	"<Not Assigned>"	7647010	"Hydrochloric acid"	"Hydrochloric acid"	"Hydrochloric acid"	1987	"IRIS 4/1997"	0.02	300	1	"L"	"IRIS"	"7/1/1995"																90	90	"Non-carcinogen*"	"Non-carcinogen"	"Non-carcinogen"		14	3.52E-9	0.54		823000	100.0	0.0	0.0	100.0		3.2	0.0245		36.45	0	1	0	0	0	1	0	0	0	1	1	0		0	"NM"						1	90
"74908"	"74-90-8"	332	"<Not Assigned>"	74908	"Hydrogen cyanide"	"Hydrogen cyanide"	"Hydrogen cyanide"	1987	"IRIS 4/1997"	0.0030	1000	1	"L"	"IRIS"	"11/1/1994"	0.02	100	5	"M"	"2/1/1993"	"IRIS"										600	25	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"	8.1E-5	2		-0.25		1000000	7.28	22.94	75.82	1.24	99.0		0.000133		27.03	1	0	1	0	0	1	0	0	1	1	1	0		0	"CNM"						1	600
"7664393"	"7664-39-3"	333	"<Not Assigned>"	7664393	"Hydrogen fluoride"	"Hydrogen fluoride"	"Hydrogen fluoride"	1987	"CalEPA 11/2003"	0.014				"CalEPA"	"8/2003"	0.04				"8/2003"	"CalEPA"										130	13	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"		14		0.23		922	1.85	95.14	0.0	4.86		3.2			20.01	0	1	0	0	0	1	0	0	1	1	1	0		0	"CNM"						1	130
"123319"	"123-31-9"	334	"<Not Assigned>"	123319	"Hydroquinone"	"Hydroquinone"	"Hydroquinone"	1987	"HEAST 7/1997"							0.04	100			"7/1997"	"HEAST"										13	13	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.0627	9.3		0.59		72000	92.07	0.37	0.0	99.63	99.0	40	0.0000000000473		110.11	0	1	0	0	0	1	0	0	1	1	1	1	"2"	0	"CNM"						1	13
"35554440"	"35554-44-0"	335	"<Not Assigned>"	35554440	"Imazalil (1-[2-(2,4-Dichlorophenyl)-2-(2-propenyloxy)ethyl]-"	"1-[2-(2,4-Dichlorophenyl)-2-(2-propenyloxy) ethyl]-1H-imidazole"	"Imazalil"	1995	"OPP 8/2000, OPP 11/2003"							0.025	100			"6/1999"	"OPP"		0.0611	"B"			"12/7/1999"	"OPP"	"12/7/1999"	"OPP"	120	120	"Carcinogen"	"Carcinogen*"	"Carcinogen"	0.229	250		3.82		180	78.69	18.76	0.0	81.24	99.0	470	0.00000000259		297.19	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	120
"55406536"	"55406-53-6"	336	"<Not Assigned>"	55406536	"Iodo-2-propynyl butylcarbamate, 3-"	"3-Iodo-2-propynyl butylcarbamate"	"3-Iodo-2-propynyl butylcarbamate"	1995	"OPP 2/1997, OPP 11/2003"							0.07	300			"5/6/1993"	"OPP"			"E"					"12/4/1996"	"OPP"	7.1000000000000005	7.1000000000000005	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.069	513	0.00507	2.45		127	77.22	1.71	0.0	98.29	99.0	43	0.00000000893		281.09	0	0	0	0	0	0	0	1	0	1	1	1	"0"	0	"NM"						1	7.1000000000000005
"13463406"	"13463-40-6"	337	"<Not Assigned>"	13463406	"Iron pentacarbonyl"	"Iron pentacarbonyl"	"Iron pentacarbonyl"	1995																																						99.0				195.9	0	0	1	0	0	0	0	1	0	1	1	1	"3"	0	"NM"						0	
"78842"	"78-84-2"	338	"<Not Assigned>"	78842	"Isobutyraldehyde"	"Isobutyraldehyde"	"Isobutyraldehyde"	1987	"final derived"	0.035	1000		"M"	"final derived"	"1/6/1998"									"D"					"1/6/1998"	"final derived"	51		"n/a"	"Non-carcinogen"	"Non-carcinogen"	0.071	8		0.74		89000	92.23	0.37	1.39	98.24	99.0	3.2	0.00018		72.11	0	0	0	0	0	0	0	0	1	1	1	1	"2"	0	"CNM"						1	51
"465736"	"465-73-6"	339	"<Not Assigned>"	465736	"Isodrin"	"Isodrin"	"Isodrin"	1995																												0.18	45400	1.7E-6	6.75		0.01415	98.96	62.16	0.02	37.82	99.0	20180	0.00038700000000000003		364.92	0	0	0	0	0	1	0	1	0	0	0	0		1	"NM"						0	
"25311711"	"25311-71-1"	340	"<Not Assigned>"	25311711	"Isofenphos"	"Isofenphos"	"Isofenphos"	1995	"OPP 2/1997, OPP 8/2000"							5.0E-4	100			"3/22/1994"	"OPP"			"C"					"1/13/1998"	"OPP"	1000	1000	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.745	795	1.02E-5	4.12		22.1	96.38	18.31	0.0	81.69	99.0	800	0.0000000617		345.4	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	1000
"67630"	"67-63-0"	341	"<Not Assigned>"	67630	"Isopropyl alcohol"	"Isopropyl alcohol"	"Isopropyl alcohol"	1987																												0.0137	2		0.05		1000000	92.07	0.37	0.087	99.55	99.0	3.2	0.0000081		60.1	0	0	0	0	0	0	0	0	1	1	1	1	"2"	0	"CNM"						0	
"94111"	"94-11-1"	342	"<Not Assigned>"	94111	"Isopropyl ester, 2,4-D"	"2,4-D isopropyl ester"	"2,4-D isopropyl ester"	1995																												0.019	600	0.00114	3.81		37.34	98.28	8.7	0.02	91.28	99.0	460	0.00000215		263.12	0	0	0	0	0	1	1	1	0	1	1	0		0	"NM"						0	
"80057"	"80-05-7"	343	"<Not Assigned>"	80057	"Isopropylidenediphenol, 4,4'-"	"4,4'-Isopropylidenediphenol"	"4,4'-Isopropylidenediphenol"	1987	"IRIS 4/1997"							0.05	1000	1	"H"	"7/1/1993"	"IRIS"										10	10	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.218	310		3.32		120	85.68	6.0	0.0	94.0	99.0	100	0.00000000001		228.29	0	0	0	0	0	0	0	0	1	1	1	1	"2"	0	"CNM"						1	10
"120581"	"120-58-1"	344	"<Not Assigned>"	120581	"Isosafrole"	"Isosafrole"	"Isosafrole"	1990																												0.218	283		3.37		144.3	64.08	11.17	0.19	88.64	99.0	210	0.036		162.19	0	0	0	0	0	1	0	0	0	1	1	0		0	"NM"						0	
"77501634"	"77501-63-4"	345	"<Not Assigned>"	77501634	"Lactofen (Benzoic acid, (5-(2-Chloro-4-(trifluoromethyl)phen"	"Benzoic acid, (5-(2-Chloro-4-(trifluoromethyl)phenoxy)-2-nitro-2-ethoxy-1-methyl"	"Lactofen"	1995	"OPP 8/2000, OPP 11/2003"							0.0080	100			"3/2000"	"OPP"		0.119	"B2"			"4/8/1997"	"OPP"	"4/8/1997"	"OPP"	240	240	"Carcinogen"	"Carcinogen*"	"Carcinogen"	0.0090	15000	7.73E-5	4.81		0.1	99.37	30.89	0.0	69.12	99.0	2700	0.000000000573		461.78	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	240
"7439921"	"7439-92-1"	346	"<Not Assigned>"	7439921	"Lead"	"Lead"	"Lead"	1987	"CalEPA 5/2001, CalEPA 12/1997, IRIS 4/1997"							5.7142E-5			"H"	"12/1997"	"CalEPA"		0.0085	"B2"			"10/2000"	"CalEPA"	"11/1/1993"	"IRIS"	8800	8800	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"		14		0.73	580	9581	63.48	100.0	0.0	0.0	91.6	42	0.0245	0.015	209.21	1	1	0	1	1	1	1	0	0	0	0	0		1	"CM"						1	8800
"N420"	"N420"	347	"<Not Assigned>"	420	"Lead compounds"	"Lead compounds"	"Lead compounds"	1987	"CalEPA 5/2001, CalEPA 12/1997, IRIS 4/1997"							5.7142E-5			"H"	"12/1997"	"CalEPA"		0.0085	"B2"			"10/2000"	"CalEPA"	"11/1/1993"	"IRIS"	8800	8800	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"		14		0.73	580	9581	63.48	100.0	0.0	0.0	91.6	42	0.0245	0.015	209.21	1	1	0	0	0	1	1	0	0	0	0	0		1	"CM"						1	8800
"58899"	"58-89-9"	348	"<Not Assigned>"	58899	"Lindane"	"Lindane"	"Lindane"	1987	"CalEPA 5/2001, OPP 11/2003"	0.0010				"CalEPA"	"1/1991"	0.0047	100			"7/2000"	"OPP"	0.31	1.1	"C"	"4/1999"	"CalEPA"	"10/2000"	"CalEPA"	"11/29/2001"	"OPP"	1800	220	"Carcinogen"	"Non-carcinogen"	"Mixed"	0.00155	1290	1.2E-4	3.72		7.3	75.38	16.79	0.04	83.15	99.0	1300	0.00000514	2.0E-4	290.83	0	1	0	1	1	1	1	0	1	1	1	0		0	"CNM"						1	1800
"330552"	"330-55-2"	349	"<Not Assigned>"	330552	"Linuron"	"Linuron"	"Linuron"	1995	"OPP 2/1997, IRIS 4/1997"							0.0080	100			"6/10/1993"	"OPP"			"C"					"10/1/1993"	"IRIS"	63	63	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.028	1510		3.2		75	59.41	9.09	0.0	90.91	99.0	160	0.00000000625		249.1	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	63
"554132"	"554-13-2"	350	"<Not Assigned>"	554132	"Lithium carbonate"	"Lithium carbonate"	"Lithium carbonate"	1995																													24		-6.19		12800	1.85	94.59	0.0	4.86		3			73.89	0	0	0	0	0	0	0	1	0	1	1	0		0	"M"						0	
"121755"	"121-75-5"	351	"<Not Assigned>"	121755	"Malathion"	"Malathion"	"Malathion"	1995	"OPP 11/2003"							0.02	100			"1/2003"	"OPP"			"C"					"6/20/2000"	"OPP"	25	25	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.209	1800	2.18E-5	2.36		143	92.76	0.86	0.0	99.14	99.0	36	0.00000000489		330.36	0	0	0	0	0	1	0	1	0	1	1	0		0	"NM"						1	25
"108316"	"108-31-6"	352	"<Not Assigned>"	108316	"Maleic anhydride"	"Maleic anhydride"	"Maleic anhydride"	1987	"IRIS 4/1997, CalEPA 11/2003"	7.0E-4				"CalEPA"	"12/2001"	0.1	100	1	"M"	"7/1/1993"	"IRIS"										2600	5	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"	0.00392		113.0	1.62		4912	100.0	0.0	0.0	100.0	99.0		0.00000393		98.06	0	1	0	0	0	1	0	0	1	1	1	1	"2,4"	0	"CNM"						1	2600
"109773"	"109-77-3"	353	"<Not Assigned>"	109773	"Malononitrile"	"Malononitrile"	"Malononitrile"	1994	"HEAST 7/1997"							2.0E-5	10000			"7/1997"	"HEAST"										25000	25000	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	9.1E-5	6.6000000000000005	0.00135	-0.6		133000	45.42	2.38	0.0	97.62	99.0	3.2	0.0000000127		66.06	0	0	0	0	0	1	0	0	0	1	1	0		0	"NM"						1	25000
"12427382"	"12427-38-2"	354	"<Not Assigned>"	12427382	"Maneb"	"Maneb"	"Maneb"	1987	"OPP 8/2000, OPP 11/2003"							0.029	300			"11/2001"	"OPP"		0.0601	"B2"			"6/9/1999"	"OPP"	"6/9/1999"	"OPP"	120	120	"Carcinogen"	"Carcinogen*"	"Carcinogen"	0.575	550		0.62		6	1.86	95.16	0.0	4.84	99.0	220	0.00000000486		295.37	0	0	0	0	0	0	0	0	1	1	1	0		0	"CNM"						1	120
"7439965"	"7439-96-5"	355	"<Not Assigned>"	7439965	"Manganese"	"Manganese"	"Manganese"	1987	"IRIS 4/1997"	5.0E-5	1000	1	"M"	"IRIS"	"12/1/1993"	0.14	1	1	"M"	"5/1/1996"	"IRIS"			"D"					"12/1/1996"	"IRIS"	36000	3.6	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"		14		0.23	5	87170	38.85	100.0	0.0	0.0		3.2			54.94	0	1	0	0	1	0	0	0	1	1	1	0		0	"CM"						1	36000
"N450"	"N450"	356	"<Not Assigned>"	450	"Manganese compounds"	"Manganese compounds"	"Manganese compounds"	1987	"IRIS 4/1997"	5.0E-5	1000	1	"M"	"IRIS"	"12/1/1993"	0.14	1	1	"M"	"5/1/1996"	"IRIS"			"D"					"12/1/1996"	"IRIS"	36000	3.6	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"		14		0.23	5	87170	38.85	100.0	0.0	0.0		3.2			54.94	0	1	0	0	0	1	0	0	1	1	1	0		0	"CM"						1	36000
"93652"	"93-65-2"	357	"<Not Assigned>"	93652	"Mecoprop"	"Mecoprop"	"Mecoprop"	1995	"IRIS 4/1997"							0.0010	3000	1	"M"	"8/1/1990"	"IRIS"										500	500	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.0939	130		3.13		620	57.76	8.34	0.0	91.66	99.0	140	0.0000000182		214.65	0	0	0	0	0	0	1	1	0	1	1	0		0	"NM"						1	500
"149304"	"149-30-4"	358	"<Not Assigned>"	149304	"Mercaptobenzo-thiazole, 2- (MBT)"	"2-Mercaptobenzothiazole (MBT)"	"2-Mercaptobenzothiazole"	1995	"OPP 2/1997, OPP 8/2000"							0.6	100			"4/28/1994"	"OPP"			"C"					"11/19/1992"	"OPP"	0.8300000000000001	0.8300000000000001	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.11	310		2.42		120	48.3	3.89	0.0	96.13	99.0	41	0.0000000363		167.25	0	0	0	0	0	0	0	1	0	1	1	1	"0"	0	"NM"						1	0.8300000000000001
"7439976"	"7439-97-6"	359	"<Not Assigned>"	7439976	"Mercury"	"Mercury"	"Mercury"	1987	"IRIS 4/1997, IRIS 11/2003"	3.0E-4	30	1	"M"	"IRIS"	"6/1/1995"	1.0E-4	10	1	"H"	"7/27/2001"	"IRIS"			"C"					"5/1/1995"	"IRIS"	6000	5000	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"		14		0.62	4100	0.06	68.57	100.0	0.0	0.0		36000	0.008622	0.0020	200.59	1	1	0	1	1	1	0	0	0	0	0	0		1	"NM"						1	6000
"N458"	"N458"	360	"<Not Assigned>"	458	"Mercury compounds"	"Mercury compounds"	"Mercury compounds"	1987	"IRIS 4/1997, IRIS 11/2003"	3.0E-4	30	1	"M"	"IRIS"	"6/1/1995"	1.0E-4	10	1	"H"	"7/27/2001"	"IRIS"			"C"					"5/1/1995"	"IRIS"	6000	5000	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"		14		0.62	4100	0.06	68.57	100.0	0.0	0.0		36000	0.008622	0.0020	200.59	1	1	0	0	0	1	0	0	0	0	0	0		1	"NM"						1	6000
"150505"	"150-50-5"	361	"<Not Assigned>"	150505	"Merphos"	"Merphos"	"Merphos"	1995	"IRIS 4/1997"							3.0E-5	3000	1	"L"	"4/1/1991"	"IRIS"										17000	17000	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.213	98000		7.67		0.0035	99.99	21.83	0.0	78.16	99.0	15000	0.0000227		298.51	0	0	0	0	0	0	0	1	0	1	1	1	"0"	0	"NM"						1	17000
"126987"	"126-98-7"	362	"<Not Assigned>"	126987	"Methacrylonitrile"	"Methacrylonitrile"	"Methacrylonitrile"	1994	"IRIS 4/1997"							1.0E-4	3000	1	"L"	"2/1/1996"	"IRIS"										5000	5000	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.0226	16		0.68		25400	76.17	0.8	4.59	94.59	99.0	2	0.000247		67.09	0	0	1	0	0	1	0	0	0	1	1	0		0	"NM"						1	5000
"137428"	"137-42-8"	363	"<Not Assigned>"	137428	"Metham sodium"	"Metham sodium"	"Metham sodium"	1995	"OPP 2/1997, OPP 8/2000, OPP 11/2003"							0.01	100			"12/1/1994"	"OPP"		0.198	"B2"			"5/1/1995"	"OPP"	"5/1/1995"	"OPP"	400	400	"Carcinogen"	"Carcinogen*"	"Carcinogen"	0.174	2.6		-2.62		722000	75.91	0.8	3.5	95.69	99.0	3.2	0.000177		129.18	0	0	0	0	0	0	0	1	0	1	1	1	"0"	0	"NM"						1	400
"67561"	"67-56-1"	364	"<Not Assigned>"	67561	"Methanol"	"Methanol"	"Methanol"	1987	"IRIS 4/1997, CalEPA 5/2001"	4.0				"CalEPA"	"4/2000"	0.5	1000	1	"M"	"7/1/1993"	"IRIS"										0.45	1	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"	0.00255	2		-0.77		1000000	92.07	0.36	0.043	99.59	99.0	3	0.00000455		32.04	0	1	0	0	0	1	0	0	1	1	1	1	"2,4"	0	"CNM"						1	1
"20354261"	"20354-26-1"	365	"<Not Assigned>"	20354261	"Methazole (2-(3,4-Dichlorophenyl)-4-methyl-1,2,4- oxadiazol"	"2-(3,4-Dichlorophenyl)-4-methyl-1,2,4- oxadiazolidine-3,5-dione"	"Methazole"	1995																												0.0111	2630		3.22		1.5	59.91	9.31	0.017	90.67	99.0	160	0.000000229		261.07	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						0	
"2032657"	"2032-65-7"	366	"<Not Assigned>"	2032657	"Methiocarb"	"Methiocarb"	"Methiocarb"	1995	"OPP 2/1997, OPP 8/2000"							0.0050	300			"11/18/1993"	"OPP"			"D"					"3/2/1993"	"OPP"	100	100	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.0364	209	7.75E-4	2.92		27	80.58	3.21	0.0	96.79	99.0	98	0.00000000118		225.31	0	0	0	0	0	1	0	1	0	1	1	0		0	"NM"						1	100
"94746"	"94-74-6"	367	"<Not Assigned>"	94746	"Methoxone ((4-Chloro-2-methylphenoxy)acetic acid) (MCPA)"	"4-Chloro-2-methylphenoxy)acetic acid (MCPA)"	"Methoxone (MCPA)"	1995	"IRIS 4/1997"							5.0E-4	300	1	"M"	"1/1/1991"	"IRIS"										1000	1000	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.0341	130		3.25		630	60.68	9.67	0.0	90.34	99.0	170	0.00000000133		200.62	0	0	0	0	0	0	1	1	0	1	1	0	"5"	0	"NM"						1	1000
"3653483"	"3653-48-3"	368	"<Not Assigned>"	3653483	"Methoxone sodium salt ((4-Chloro-2-methylphenoxy) acetate"	"Methoxone sodium salt ((4-Chloro-2-methylphenoxy) acetate sodium salt"	"Methoxone sodium salt"	1995																												0.0341	4.5		-1.29		270000	75.23	0.89	0.0	99.11	99.0	3.2	0.0000000138		222.61	0	0	0	0	0	0	1	1	0	1	1	0		0	"NM"						0	
"72435"	"72-43-5"	369	"<Not Assigned>"	72435	"Methoxychlor"	"Methoxychlor"	"Methoxychlor"	1987	"IRIS 4/1997"							0.0050	1000	1	"L"	"8/1/1991"	"IRIS"			"D"					"10/1/1990"	"IRIS"	100	100	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.145	63000	7.87E-5	5.08		0.1	98.56	46.1	0.0	53.91	99.0	8128	0.000000203	0.04	345.66	0	1	0	0	1	1	0	0	0	0	0	0		1	"NM"						1	100
"109864"	"109-86-4"	370	"<Not Assigned>"	109864	"Methoxyethanol, 2-"	"2-Methoxyethanol"	"2-Methoxyethanol"	1987	"IRIS 4/1997"	0.02	1000	1	"M"	"IRIS"	"5/1/1991"																90	90	"Non-carcinogen*"	"Non-carcinogen"	"Non-carcinogen"	0.034	2		-0.77		1000000	92.06	0.36	0.011	99.63	99.0		0.00000033		76.1	0	0	0	0	0	0	0	0	1	1	1	1	"0"	0	"CNM"						1	90
"96333"	"96-33-3"	371	"<Not Assigned>"	96333	"Methyl acrylate"	"Methyl acrylate"	"Methyl acrylate"	1987	"HEAST 7/1997"							0.03	100			"7/1997"	"HEAST"										17	17	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.0254	11	9.31E-6	0.8		49400	92.25	0.37	1.49	98.14	99.0	1.4	0.000199		86.09	0	0	0	0	0	0	0	0	1	1	1	1	"2,4"	0	"CNM"						1	17
"79221"	"79-22-1"	372	"<Not Assigned>"	79221	"Methyl chlorocarbonate"	"Methyl chlorocarbonate"	"Methyl chlorocarbonate"	1994																												5.88E-4		2.03	0.14		92750	99.63	0.05	0.82	99.13	99.0		0.00235		94.5	0	0	1	0	0	1	0	0	0	1	1	1	"2,4"	0	"NM"						0	
